creationDate,cumulative_value
2024-02-14 18:38:57+01:00,58.81
2024-02-14 19:09:58+01:00,68.23
2024-02-14 21:04:35+01:00,10.921999999999999
2024-02-15 07:21:37+01:00,20.070999999999998
2024-02-15 17:08:28+01:00,69.93
2024-02-15 17:20:16+01:00,82.54
2024-02-15 17:42:31+01:00,22.576
2024-02-16 02:31:40+01:00,49.69
2024-02-16 02:46:38+01:00,159.19
2024-02-16 02:58:46+01:00,62.11
2024-02-16 03:34:15+01:00,186.471
2024-02-16 04:00:54+01:00,64.25999999999999
2024-02-16 09:50:18+01:00,78.04399999999998
2024-02-16 10:09:02+01:00,2.1165
2024-02-16 12:02:26+01:00,245.71099999999998
2024-02-16 12:37:39+01:00,1468.0225
2024-02-16 12:56:47+01:00,33.257000000000005
2024-02-16 13:40:02+01:00,168.05150000000003
2024-02-16 13:52:19+01:00,6.8999999999999995
2024-02-16 14:08:36+01:00,23.987000000000002
2024-02-16 14:19:58+01:00,238.83550000000005
2024-02-16 14:30:51+01:00,225.62349999999998
2024-02-16 14:39:02+01:00,67.8195
2024-02-16 14:49:44+01:00,58.5
2024-02-16 14:56:58+01:00,40.213499999999996
2024-02-16 15:01:06+01:00,208.35000000000002
2024-02-16 15:14:35+01:00,26.1035
2024-02-16 15:17:39+01:00,141.38
2024-02-16 15:24:26+01:00,251.80200000000002
2024-02-16 15:28:16+01:00,229.37
2024-02-16 15:34:03+01:00,231.957
2024-02-16 15:41:52+01:00,82.66
2024-02-17 09:16:12+01:00,3.12
2024-02-18 15:22:59+01:00,1.32
2024-02-18 21:21:54+01:00,2.822
2024-02-19 10:10:49+01:00,8.8
2024-02-19 22:46:07+01:00,2.1165
2024-02-19 23:01:56+01:00,489.1400000000002
2024-02-19 23:12:27+01:00,600.37
2024-02-19 23:17:58+01:00,634.6219999999998
2024-02-19 23:29:08+01:00,649.52
2024-02-19 23:34:57+01:00,533.7719999999998
2024-02-19 23:46:07+01:00,653.53
2024-02-19 23:52:12+01:00,35.275
2024-02-20 00:15:14+01:00,3.0599999999999996
2024-02-20 08:36:15+01:00,20.4595
2024-02-20 08:43:23+01:00,1579.9516
2024-02-20 09:12:38+01:00,138.71
2024-02-20 09:17:52+01:00,7.08
2024-02-20 09:23:50+01:00,69.58
2024-02-20 10:02:18+01:00,183.671
2024-02-20 10:28:49+01:00,911.9600000000002
2024-02-20 10:46:39+01:00,750.2395
2024-02-20 11:00:13+01:00,373.70000000000005
2024-02-20 11:06:18+01:00,76.8468
2024-02-20 11:10:34+01:00,383.68
2024-02-20 11:17:06+01:00,590.7678
2024-02-20 11:27:12+01:00,760.96
2024-02-20 11:39:56+01:00,296.727
2024-02-20 11:50:07+01:00,469.065
2024-02-20 11:55:57+01:00,1016.8310000000002
2024-02-20 12:08:07+01:00,1079.6599999999999
2024-02-20 12:14:10+01:00,10.200000000000001
2024-02-20 12:20:20+01:00,53.760000000000005
2024-02-20 12:34:13+01:00,98.303
2024-02-20 12:59:15+01:00,57.410000000000004
2024-02-20 13:34:17+01:00,64.60000000000001
2024-02-20 14:53:25+01:00,3.28
2024-02-22 09:28:04+01:00,1335.25622
2024-02-22 09:49:37+01:00,105.42599999999999
2024-02-22 10:20:14+01:00,295.47
2024-02-22 10:30:13+01:00,324.90000000000003
2024-02-22 10:40:12+01:00,302.08000000000004
2024-02-22 10:55:50+01:00,372.97999999999996
2024-02-22 11:12:31+01:00,472.03000000000003
2024-02-22 11:22:04+01:00,78.0035
2024-02-22 11:41:32+01:00,67.05999999999999
2024-02-22 11:57:36+01:00,19.77
2024-02-22 12:07:03+01:00,379.57
2024-02-22 12:17:02+01:00,283.59000000000003
2024-02-22 12:27:02+01:00,403.58
2024-02-22 12:44:17+01:00,570.16
2024-02-22 13:16:36+01:00,97.83
2024-02-22 13:21:47+01:00,1417.1550000000002
2024-02-22 13:37:24+01:00,299.85
2024-02-22 13:46:06+01:00,209.17
2024-02-22 14:05:09+01:00,6.720000000000001
2024-02-28 21:10:58+01:00,47.835
2024-02-29 10:50:52+01:00,558.7962
2024-03-05 08:11:58+01:00,74.0775
2024-03-05 08:52:07+01:00,12.699
2024-03-05 09:24:52+01:00,17.6375
2024-03-05 09:29:11+01:00,78.2
2024-03-05 09:54:28+01:00,4.233
2024-03-05 10:50:57+01:00,152.388
2024-03-05 11:10:34+01:00,77.60499999999999
2024-03-05 11:26:35+01:00,38.802499999999995
2024-03-05 11:56:18+01:00,36.686
2024-03-05 11:59:31+01:00,48.65
2024-03-05 12:03:28+01:00,977.5885000000002
2024-03-05 12:26:17+01:00,47.57
2024-03-05 12:36:19+01:00,23.555
2024-03-05 13:02:26+01:00,7.0
2024-03-05 13:11:25+01:00,14.8155
2024-03-05 13:19:44+01:00,1003.9464999999998
2024-03-05 13:39:03+01:00,746.3270000000003
2024-03-05 13:51:27+01:00,1647.5004999999996
2024-03-05 14:16:23+01:00,42.33
2024-03-05 14:19:45+01:00,40.44
2024-03-05 14:36:59+01:00,14.295
2024-03-05 14:54:09+01:00,116.206
2024-03-05 15:06:04+01:00,46.4055
2024-03-05 15:14:25+01:00,18.713500000000003
2024-03-05 15:31:25+01:00,106.224
2024-03-05 15:42:40+01:00,914.9413999999998
2024-03-05 16:04:46+01:00,378.62
2024-03-05 16:22:13+01:00,55.7345
